id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,dataset,text,fake_prob,text_len,word_count,has_sep,has_url,has_email,has_phone,has_money,n_sep_tokens
1200,Casual/Part-Time Position,"AU, NSW, Sydney",Casual,,,Our International Company is seeking an active employee. We give a work for everybody.Part-Time $430 per a week.Basic characteristics:· Energy· Enthusiasm· Willingness to learn· Strong work ethic· ReliabilityWe are looking forward for your CV with your full name and e-mail. #EMAIL_00e35a10817c0d8e20fb7b138204884f53bb960cf21350f2232d5cb7cd8ff070#,Main requirements:- free time presence;- Computer with internet access;- mobile contact;- computer skills on the user level.No Experience Necessary. We Train You.,"Working days - from Monday to Friday;Working time - from 8:00 am till 12:00 pm, Part-time;",0,0,0,,,,,,0,emscad,"Casual/Part-Time Position [SEP] Our International Company is seeking an active employee. We give a work for everybody.Part-Time __MONEY__ per a week.Basic characteristics:· Energy· Enthusiasm· Willingness to learn· Strong work ethic· ReliabilityWe are looking forward for your CV with your full name and e-mail. #EMAIL_00e35a10817c0d8e20fb7b__PHONE__f53bb960cf21350f2232d5cb7cd8ff070# [SEP] Main requirements:- free time presence;- Computer with internet access;- mobile contact;- computer skills on the user level.No Experience Necessary. We Train You. [SEP] Working days - from Monday to Friday;Working time - from 8:00 am till 12:00 pm, Part-time;",0.83659613,650,84,True,False,False,True,True,3
1659,Data Entry,"US, FL, miami",,,,"Prepares source data for computer entry by compiling and sorting information; establishing entry priorities.  •Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution.•Enters customer and account data by inputting alphabetic and numeric information on keyboard or optical scanner according to screen format.  •Maintains data entry requirements by following data program techniques and procedures.  •Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data; combining data from both systems when account information is incomplete; purging files to eliminate duplication of data.  •Tests customer and account system changes and upgrades by inputting new data; reviewing output.  •Secures information by completing data base backups.  ayobamijegsonmoney: Maintains operations by following policies and procedures; reporting needed changes.  •Maintains customer confidence and protects operations by keeping information confidential.  •Contributes to team effort by accomplishing related results as needed.","Skills/Qualifications: Organization, Typing, Data Entry Skills, Attention to Detail, Confidentiality, Thoroughness, Decision Making, Independence, Analyzing Information, Results Driven, Energy Level","We are seeking extremely motivated and experienced individual for position of  Data Entry clerk/Administartive Asistance/Customer Service/Receiptionist/Pay roll office ..Position: Full time and part-time (30-40 hours per week Monday through Friday daytime) The position is for full-time and part-time positions available within the company.. Benefits include health, dental, vacation time, sick leave, and 401K.",1,0,0,,,,,,0,emscad,"Data Entry [SEP] Prepares source data for computer entry by compiling and sorting information; establishing entry priorities. •Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution.•Enters customer and account data by inputting alphabetic and numeric information on keyboard or optical scanner according to screen format. •Maintains data entry requirements by following data program techniques and procedures. •Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data; combining data from both systems when account information is incomplete; purging files to eliminate duplication of data. •Tests customer and account system changes and upgrades by inputting new data; reviewing output. •Secures information by completing data base backups. ayobamijegsonmoney: Maintains operations by following policies and procedures; reporting needed changes. •Maintains customer confidence and protects operations by keeping information confidential. •Contributes to team effort by accomplishing related results as needed. [SEP] Skills/Qualifications: Organization, Typing, Data Entry Skills, Attention to Detail, Confidentiality, Thoroughness, Decision Making, Independence, Analyzing Information, Results Driven, Energy Level [SEP] We are seeking extremely motivated and experienced individual for position of Data Entry clerk/Administartive Asistance/Customer Service/Receiptionist/Pay roll office ..Position: Full time and part-time (30-40 hours per week Monday through Friday daytime) The position is for full-time and part-time positions available within the company.. Benefits include health, dental, vacation time, sick leave, and 401K.",0.50327617,1823,231,True,False,False,False,False,3
2622,DATA ENTRY CLERK SPECIALIST,"US, MN, South St. Paul",,24900-31200,,Data Entry Clerk Specialist serves to support the Director of Operatuions within the Administrative or other areas as assigned in a Deputy Registrar's office of the Department of Motor Vehicles.,Support the Administrative area of the Deputy Registrar's officeData entry of dealer and client automotive applications being sent to the State of MinnesotaPerform other duties as assignedMinimum 60 words a minute and 10 key proficiency..must be approved by the State of Minnesota,"Salary commemsurate with experienceHealth, Dental and Vision insurance included",0,0,0,Full-time,Associate,High School or equivalent,Government Administration,Administrative,0,emscad,"DATA ENTRY CLERK SPECIALIST [SEP] Data Entry Clerk Specialist serves to support the Director of Operatuions within the Administrative or other areas as assigned in a Deputy Registrar's office of the Department of Motor Vehicles. [SEP] Support the Administrative area of the Deputy Registrar's officeData entry of dealer and client automotive applications being sent to the State of MinnesotaPerform other duties as assignedMinimum 60 words a minute and 10 key proficiency..must be approved by the State of Minnesota [SEP] Salary commemsurate with experienceHealth, Dental and Vision insurance included",0.9742741,601,88,True,False,False,False,False,3
3477,Electrical Inspecter Tester,"GB, CRY, New Adington",Electrical,,,I need an electrician with inspection and testing to work in Croydon on daily base.The job is monday to friday every week. And the prolect is for 3 years. You will need your own transport as the property are all arround Croydon council. Previous experiance is needed.,,,0,0,1,,,,,,0,emscad,Electrical Inspecter Tester [SEP] I need an electrician with inspection and testing to work in Croydon on daily base.The job is monday to friday every week. And the prolect is for 3 years. You will need your own transport as the property are all arround Croydon council. Previous experiance is needed.,0.64110506,301,51,True,False,False,False,False,1
4102,Casual/Part-Time Position,"AU, NSW, Sydney",administration,,,Casual job\Part-TimeOur Company is seeking an active employees. No Skills required. All we are looking for hard working people. you will be working with our great team and in a good atmosphere.If you have finished your uni or need a extra cash then contact us.Part-Time. Working days - from Monday to Friday;Basic characteristics:Intermediate computer skills;Great attention to detail;Excellent organisational and time management skills;Good written and verbal communication skills;Proactive and Enthusiastic work approach.If you're ready to take on a new job or further your case management experience please send a CV directly to #EMAIL_00e35a10817c0d8e20fb7b138204884f53bb960cf21350f2232d5cb7cd8ff070#,,,0,0,0,,,,,,0,emscad,Casual/Part-Time Position [SEP] Casual job\Part-TimeOur Company is seeking an active employees. No Skills required. All we are looking for hard working people. you will be working with our great team and in a good atmosphere.If you have finished your uni or need a extra cash then contact us.Part-Time. Working days - from Monday to Friday;Basic characteristics:Intermediate computer skills;Great attention to detail;Excellent organisational and time management skills;Good written and verbal communication skills;Proactive and Enthusiastic work approach.If you're ready to take on a new job or further your case management experience please send a CV directly to #EMAIL_00e35a10817c0d8e20fb7b__PHONE__f53bb960cf21350f2232d5cb7cd8ff070#,0.53395164,736,96,True,False,False,True,False,1
5448,Customer Service Agent,"ZA, GT, Johannesburg",Call Center,60000-100000,,"Position: Call Center Customer Service AgentDo you make friends feel better when they are down?Do you help relatives set up email on their computer?AND you do it over the phone!! If you do, you should use your compassion and put your service skills to use to help you earn money and start a career in customer service. Where is this opportunity?Gauteng How much do they pay?R 5,000 - R10,000/month + commission  What do they want me to do?Help new and existing customers to solve their problems.Explain how specific products and services workAnswer customers’ questions about products, prices, availability.Maintain customer records, on computer systemsResolve problems by clarifying issues; researching and exploring answers and alternative solutions; escalating unresolved problems.Fulfill requests by clarifying desired information; completing transactions; forwarding requests.","What are the basic requirements?- Matric or equivalent- 1 years experience in a call center- A willingness to help people, even when they are shouting at you- Be nice",,0,0,1,Full-time,Not Applicable,High School or equivalent,Financial Services,Customer Service,0,emscad,"Customer Service Agent [SEP] Position: Call Center Customer Service AgentDo you make friends feel better when they are down?Do you help relatives set up email on their computer?AND you do it over the phone!! If you do, you should use your compassion and put your service skills to use to help you earn money and start a career in customer service. Where is this opportunity?Gauteng How much do they pay?R 5,000 - R10,000/month + commission What do they want me to do?Help new and existing customers to solve their problems.Explain how specific products and services workAnswer customers' questions about products, prices, availability.Maintain customer records, on computer systemsResolve problems by clarifying issues; researching and exploring answers and alternative solutions; escalating unresolved problems.Fulfill requests by clarifying desired information; completing transactions; forwarding requests. [SEP] What are the basic requirements?- Matric or equivalent- 1 years experience in a call center- A willingness to help people, even when they are shouting at you- Be nice",0.9618608,1082,160,True,False,False,False,False,2
6608,Quality Engineer,"US, OH, cincinnati",Quality Engineering,,,"The Quality Engineer is responsible for managing all quality assurance/control related activities for a specific deck of customers, including interaction with associates in other functional areas responsible for the same group of customers. Paramount in these activities is the short and long term resolution of internally and externally identified product non conformances. The Quality Engineer establishes and maintains effective communication with their end-use customers, including formal submission of root cause investigation and countermeasure activities. The Quality Engineer monitors adherence to the existing quality system, and along with the Quality team, works to develop and implement enhancements. Support of projects and activities that ensure continuously improving value to our customers is also expected. ","Job Duties and Responsibilities:AnalysisPerform root cause analysis investigations.Develop and implement countermeasures.Conduct capability studies, certification reviews, internal audits and SPC studies.Understand ISO 9001 &amp; 13485 requirements, and assist Quality Manager in facilitating third party audits. EDUCATION AND EXPERIENCE:Bachelor’s degree in engineering/engineering technology or materials science with a minimum of 3 years of progressively responsible quality control experience in a manufacturing environment. ",,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Medical Devices,Engineering,0,emscad,"Quality Engineer [SEP] The Quality Engineer is responsible for managing all quality assurance/control related activities for a specific deck of customers, including interaction with associates in other functional areas responsible for the same group of customers. Paramount in these activities is the short and long term resolution of internally and externally identified product non conformances. The Quality Engineer establishes and maintains effective communication with their end-use customers, including formal submission of root cause investigation and countermeasure activities. The Quality Engineer monitors adherence to the existing quality system, and along with the Quality team, works to develop and implement enhancements. Support of projects and activities that ensure continuously improving value to our customers is also expected. [SEP] Job Duties and Responsibilities:AnalysisPerform root cause analysis investigations.Develop and implement countermeasures.Conduct capability studies, certification reviews, internal audits and SPC studies.Understand ISO 9001 &amp; 13485 requirements, and assist Quality Manager in facilitating third party audits. EDUCATION AND EXPERIENCE:Bachelor's degree in engineering/engineering technology or materials science with a minimum of 3 years of progressively responsible quality control experience in a manufacturing environment.",0.95985985,1381,176,True,False,False,False,False,2
7600,Workers Compensation Attorney,"US, NC, Charlotte",Legal,,,"Special Counsel in Charlotte is searching for a Workers Compensation attorney with expertise in labor and employment matters. The position requires from three or more years of experience advising on and litigating North Carolina workers compensation cases, including EEO-related matters, in the courts and before agencies. Title commensurate with skills and experience. Experience advising on and handling Occupational Safety and Health (OSHA) matters also a plus. A JD degree from an accredited LawSchool and admission to the North Carolina State Bar is required. The candidate must possess excellent presentation, interpersonal, and written and oral communication skills. With minimal supervision, handling and providing advice and representation in connection with workers compensation matters. Duties include litigation and other representation before various bodies, including regulatory agencies and courts. Qualified candidates please send your resume in word format to #EMAIL_d474950ed02aaa0d92e4f4ccdb59ffbef6fa37fb255984cc88692fcc86042358#. ",,,0,1,1,,,,,,0,emscad,"Workers Compensation Attorney [SEP] Special Counsel in Charlotte is searching for a Workers Compensation attorney with expertise in labor and employment matters. The position requires from three or more years of experience advising on and litigating North Carolina workers compensation cases, including EEO-related matters, in the courts and before agencies. Title commensurate with skills and experience. Experience advising on and handling Occupational Safety and Health (OSHA) matters also a plus. A JD degree from an accredited LawSchool and admission to the North Carolina State Bar is required. The candidate must possess excellent presentation, interpersonal, and written and oral communication skills. With minimal supervision, handling and providing advice and representation in connection with workers compensation matters. Duties include litigation and other representation before various bodies, including regulatory agencies and courts. Qualified candidates please send your resume in word format to #EMAIL_d474950ed02aaa0d92e4f4ccdb59ffbef6fa37fb255984cc88692fcc86042358#.",0.54321665,1086,140,True,False,False,False,False,1
11922,Data Entry ($18/hr),"US, TN, ",Account,,"Monroe Staffing is a full-service staffing and consulting firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. With offices throughout the Northeast and our newest office in North Carolina, we make it our business to know the local employment markets and our clients industries.Monroe Staffing provides a broad range of employment services and a best practices approach. From last-minute fill-ins to long-term strategic staffing plans; from a single high-level executive placement to a project team of specialists, we have developed effective strategies for finding and screening the most qualified staff based on our clients’ needs.",Data entry clerk needed for a 16 week project (could go longer).  The data entry clerk will be responsible for entering billing and insurance information into the database.,"The data entry clerk must be a quick and accurate typist.Position is Monday -Friday  8:30pm to 5:00pm.Must have strong Excel skills.Must have good oral and written communication skills, attention to detail, strong organizational skills, high level of integrity, ingenuity and initiative.","Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k plans.",0,0,0,Contract,Not Applicable,High School or equivalent,Staffing and Recruiting,Data Analyst,0,emscad,"Data Entry (__MONEY__/hr) [SEP] Monroe Staffing is a full-service staffing and consulting firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. With offices throughout the Northeast and our newest office in North Carolina, we make it our business to know the local employment markets and our clients industries.Monroe Staffing provides a broad range of employment services and a best practices approach. From last-minute fill-ins to long-term strategic staffing plans; from a single high-level executive placement to a project team of specialists, we have developed effective strategies for finding and screening the most qualified staff based on our clients' needs. [SEP] Data entry clerk needed for a 16 week project (could go longer). The data entry clerk will be responsible for entering billing and insurance information into the database. [SEP] The data entry clerk must be a quick and accurate typist.Position is Monday -Friday 8:30pm to 5:00pm.Must have strong Excel skills.Must have good oral and written communication skills, attention to detail, strong organizational skills, high level of integrity, ingenuity and initiative. [SEP] Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k plans.",0.6989808,1371,203,True,False,False,False,True,4
12458,Surveyors / Order Takers,"US, AZ, Phoenix",,20000-27000,,"Get paid $12 per hour to walk 3 miles per day. Customer service skills are required. We train.Part-Time, 9AM to 1PM, perfect for semi-retired people or adults with school kids.Prior to employment, a full background check will be conducted. You must have reliable transportation to and from work.Positions available in Phoenix, Glendale, and Mesa.-To apply for the Phoenix location please call #PHONE_9ba4b0f5516f70a807cf47478d237afdcafad8c91a4f2a0b0200dd0fa28828b5#.-To apply for the Mesa location please call #PHONE_a722fe08b8c89ec5618320390f738f5c3a6d0831d71a025b5ac5e0489158937a#.-To apply for the Glendale location please call #PHONE_5108f50f157808466ebff2d1b9187e0a809a5d1358702e5d1d427b7fb3a3ec10#.PLEASE DO NOT REPLY TO THIS POST VIA EMAILEmails received WILL NOT be reviewed or considered for employment.You must call one of the numbers above to apply.Thank you.-This employer participates in E-Verify.--Serious Inquiries Only Please!-",Customer service skills are required. We train.Must be able to walk 3 miles per day.,Great hourly pay as well as bonuses with no selling involved.,0,0,0,Part-time,Not Applicable,Unspecified,Consumer Services,Customer Service,0,emscad,"Surveyors / Order Takers [SEP] Get paid __MONEY__ per hour to walk 3 miles per day. Customer service skills are required. We train.Part-Time, 9AM to 1PM, perfect for semi-retired people or adults with school kids.Prior to employment, a full background check will be conducted. You must have reliable transportation to and from work.Positions available in Phoenix, Glendale, and Mesa.-To apply for the Phoenix location please call #PHONE_9ba4b0f5516f70a807cf47478d237afdcafad8c91a4f2a0b0200dd0fa28828b5#.-To apply for the Mesa location please call #PHONE_a722fe08b8c89ec__PHONE__f738f5c3a6d0831d71a025b5ac5e__PHONE__a#.-To apply for the Glendale location please call #PHONE_5108f50f__PHONE__ebff2d1b9187e0a809a5d1358702e5d1d427b7fb3a3ec10#.PLEASE DO NOT REPLY TO THIS POST VIA EMAILEmails received WILL NOT be reviewed or considered for employment.You must call one of the numbers above to apply.Thank you.-This employer participates in E-Verify.--Serious Inquiries Only Please!- [SEP] Customer service skills are required. We train.Must be able to walk 3 miles per day. [SEP] Great hourly pay as well as bonuses with no selling involved.",0.6601971,1137,145,True,False,False,True,True,3
