model,emscad_test_f1,emscad_test_precision,emscad_test_recall,openbay_recall,openbay_mean_prob,openbay_median_prob,threshold,version
bilstm,0.7561837455830389,0.7642857142857142,0.7482517482517482,0.3513,0.3185374140739441,0.0141217987984418,0.3,baseline
bilstm,0.7737226277372263,0.8091603053435115,0.7412587412587412,0.3701,0.3243239521980285,0.0014895949279889,0.1,tuned
distilbert,0.7619047619047619,0.6976744186046512,0.8391608391608392,0.8337,0.7562598586082458,0.7819867134094238,0.64,baseline
distilbert,0.8231292517006803,0.8013245033112583,0.8461538461538461,0.4041,0.2548272609710693,0.0447899848222732,0.1,tuned
lightgbm,0.8339483394833949,0.8828125,0.7902097902097902,0.9998,0.9451329394220976,0.967520878033694,0.12,baseline
lightgbm,0.8494208494208494,0.9482758620689656,0.7692307692307693,0.9906,0.895927679953826,0.9744971300306162,0.16,tuned
logistic_regression,0.7915194346289752,0.8,0.7832167832167832,0.9973,0.7282151129269514,0.7290298309983392,0.58,baseline
logistic_regression,0.7692307692307693,0.8076923076923077,0.7342657342657343,1.0,0.978107213498884,0.9796703572606024,0.8,tuned
naive_bayes,0.2426035502958579,0.2102564102564102,0.2867132867132867,0.0,0.0164623606595434,0.0154239753325996,0.1,baseline
naive_bayes,0.7096774193548387,0.6586826347305389,0.7692307692307693,0.5867,0.2080894041836622,0.1963530068685517,0.18,tuned
random_forest,0.7320261437908496,0.6871165644171779,0.7832167832167832,1.0,0.47861475,0.4825,0.22,baseline
random_forest,0.7804878048780488,0.7777777777777778,0.7832167832167832,1.0,0.4430981666666667,0.4466666666666666,0.24,tuned
textgcn_improved,0.8351648351648352,0.8769230769230769,0.7972027972027972,0.9583,0.8162298798561096,0.862008,0.48,baseline
textgcn_tuned,0.838951,0.903226,0.783217,0.9334,0.753465,,0.48,tuned
xgboost,0.7835051546391752,0.7702702702702703,0.7972027972027972,0.998,0.8724004030227661,0.9207358956336976,0.24,baseline
xgboost,0.8041958041958042,0.8041958041958042,0.8041958041958042,0.9992,0.8906924724578857,0.9183104634284972,0.28,tuned
