trial,emscad_test_f1,emscad_test_precision,emscad_test_recall,openbay_recall,openbay_mean_prob,vocab_size,threshold,val_f1,beats_baseline,elapsed_s,hidden_dim,dropout,residual_alpha,model_type,lr,weight_decay,optimizer,scheduler,epochs,patience,label_smoothing,loss_type,focal_alpha,focal_gamma,class_weight_mode,class_weight_scale,max_features,window_size,pmi_threshold,ngram_max,n_ensemble,seed
r1_cosine_adamw,0.815884,0.843284,0.79021,0.9859,0.851324,40000,0.44,0.796748,False,379.6,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r1_cosine_adamw_hi_wd,0.808989,0.870968,0.755245,0.9465,0.766274,40000,0.46,0.789916,False,405.4,300,0.35,0.7,base,0.003,0.0005,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r1_plateau_adamw,0.820896,0.88,0.769231,0.955,0.798094,40000,0.5,0.803279,False,406.1,300,0.35,0.7,base,0.003,0.0001,adamw,plateau,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r1_cosine_low_lr,0.797153,0.811594,0.783217,0.9055,0.699778,40000,0.56,0.81203,False,367.0,300,0.35,0.7,base,0.001,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r2_focal_a75_g2,0.802768,0.794521,0.811189,0.9945,0.760671,40000,0.26,0.789916,False,472.8,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,focal,0.75,2.0,none,1.0,40000,20,0.0,3,,
r2_focal_a80_g2,0.79562,0.832061,0.762238,0.9833,0.770074,40000,0.5,0.806452,False,412.8,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,focal,0.8,2.0,none,1.0,40000,20,0.0,3,,
r2_focal_a75_g1_5,0.785714,0.80292,0.769231,0.98,0.769605,40000,0.48,0.780488,False,395.1,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,focal,0.75,1.5,none,1.0,40000,20,0.0,3,,
r3_full_weight,0.815884,0.843284,0.79021,0.9592,0.822094,40000,0.5,0.818898,False,497.6,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,full,0.5,40000,20,0.0,3,,
r3_sqrt_scale1_5,0.798535,0.838462,0.762238,0.9576,0.849871,40000,0.5,0.793388,False,393.3,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.5,40000,20,0.0,3,,
r4_hd384_do30,0.821429,0.839416,0.804196,0.9792,0.788675,40000,0.4,0.786885,False,487.6,384,0.3,0.7,base,0.002,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r4_hd256_do25,0.810219,0.847328,0.776224,0.9487,0.781062,40000,0.46,0.796748,False,367.8,256,0.25,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r4_hd512_do40,0.784983,0.766667,0.804196,0.9943,0.81205,40000,0.5,0.8,False,513.1,512,0.4,0.7,base,0.001,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r4_attn_pool,0.82963,0.88189,0.783217,0.9034,0.81422,40000,0.54,0.8125,False,398.7,300,0.35,0.7,attention,0.003,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,20,0.0,3,,
r5_vocab50k,0.813187,0.853846,0.776224,0.9253,0.77278,50000,0.5,0.816,False,413.6,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,50000,20,0.0,3,,
r5_window15,0.830882,0.875969,0.79021,0.9769,0.801564,40000,0.46,0.813008,False,312.8,300,0.35,0.7,base,0.003,0.0001,adamw,cosine,200,25,0.05,ce,0.75,2.0,sqrt,1.0,40000,15,0.0,3,,
